!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
كارديجان	əɾdˈɛgan
كارنيه	kalɛnæ
كازاخستان	kaze˥˩˦xɛstˈem˨˩˦
كاش	ke̞s
كالّو	kando
كام	tˈeːm
كان	tˈɛn
كان عندي عربية بس دِلْوَقتي مَعَنْديش	kaːn ʕand aːʕrba biaːldˤʔalwaaːt maʕand ʔaʃ
كان ليكم أَصحاب كتير أيام المَدرسة؟	kan lɪkæm ɑsˈʕɑːb katiːr ɑjˈʋɑ ælmɑdˈrsæ
كان ليكم صحاب كتير أيام المدرسة؟	kan liːkɑ sˤɑhɑb katˈir ʔajama ælˈmɑdˤirɑsˤa
كانت	kijɛnet
كانجرو	kəŋgəɾuː
كانو	kɛ˥˥nu˩˥ː
كاني وماني	kani jomani
كايرو	kajru
كاَلون	kˈalˈon
كباب حلة	kæbab ħala
كبار	kuboɾ
كباري	kabɑːr
كبايات	kubˈbəiːt
كبدة اسكندراني	tio de skandaroni
كبير	kibˈiɹ
كبيرة	kibˈiɾɐ
كبينة	kɑˈbɪnɑ
كتاب	kiteːbɯ
كتاب (كُتَّاب)	kutːeːbɯ
كتابتها	kɛtɛpɛtˈa
كتابه	kitebo
كتابها	kɪt̪bʱːa
كتار	kɔtɔɾ
كتاكيت	kɛ̀tækʲiːtː
كتب (كُتُب)	kɔtɔb
كتبت	kɛttɛbtkɛttɛbit
كتبتوا	kataptu
كتبتي	kɑtɑpti
كتكوت	tɛtkˈut
كتير	ketiɾ
كتيرة	kitsiːra
كح	tæˈɑ
كحك	kæk
كحكح	kaka
كحلي	kɑħˈliː
كدا	ked̪a
كده	kˈid
كذب	kiz
كذب (كِذْب)	kˈɛdm
كرات	kʃɔːnˈʃ
كراتين	karatʃiːn
كراريس	kæɾˈɛɹiːs
كراسة	kɔrɔsa
كراسي	kˌɛɾɪsi
كرافتة	kˈaravˈatˈtˈɑ
كردستان	kordestˈˈn
كرسي	kurse
كركديه	kɛrkɛdi
كركم	korkun
كرم	kɔrɔm
كرواتيا	koɾuatsʲja
كروت	kruːt
كريم	prim
كريم عبد العزيز	kæˈriːm ɑbdælˈʕægæz
كريم فهمي	kæɾiːm fæhmɪ
كرِيم	kɾm
كزبرة	kʊsbɔra
كسكسي	kˈˈuzˈuzi
كشري	kʃɑːri
كشكول	kaʃkul
كشمير	kæʃmiːɾ
كف	kˈɛf
كفاية	kɨfˈeʃʊ
كفتة	kofta
كل	kɔl
كل سنة و انت طيبة ( مؤنث )	kæl sɑnɑnt tɑjˈbɑ
كل سنة وانت طيب	kæl sɑnɑ ʔnttˤɑb
كل مرة	k ð̞imra
كلاب	kælɛb
كلام رجالة	kalim rˈigɛlː
كلام كتير	tælæm kʲitsiːr
كلب	kælb
كلب البحر	kæl bɪl iː
كلب بلدي	klæb bælˈdɪ
كلبة	tælbæ
كلت	kˈɛlt
كلمة	kælmæ
كلونيا	kolonˈja
كم	kɛn
كمان	kɛːmɛn
كمبوديا	kɑmbɔtʃiɑ
كمبيوتر	kombjutɛr
كمبيوترات	kombiːuːtħɑrɑt
كمترى	kommetːrˈˈɾˈɒ
كمسري	komsaˈre
كمون	kæmˈmun
كميات	kennˈmʌjˈet
كمية	kɛːm˧˥niaː˧˥
كمين	kəmˈin
كنائس	kaneis
كنافة	koneːfa
كناية	kˌiːnəˈjɑ
كنب	tɛnˈæb
كنبة	kennəbɛ
كنت	kunt̪
كنت فين	kont̪eɣ̞sin
كنتالوب	tantalop
كندا	kˈænədˌa
كندوز	kanduz
كندي	kˈanədi
كنيسة	tenisa
كهربا	kħraba
كهف السباحين	kaːf ælˈbæˈħiːn
كواكب	kɛkɛb
كوبا	kuba
كوباية	kˌupˈeɪʊ
كوبرا	kubra
كوبري	kubri
كوبَّاية	kubbeje
كوت ديفوار	kute voɾ
كوتشي	kutʃi
كورس	kʊrs
كورسات	kursaːt
كوري	kˈoːɯli
كوريا	kɔriɑ
كوريا الجنوبية	kˈɔria el ɣanˈʊbeʝa
كوريا الشمالية	kˈɾijɑ ælʃæmjæ
كوستاريكا	kɔstaɾika
كوسوفو	kosovo
كوشة	kˈuʃa
كوفرتة	kuvɛrta
كوفية	kofeja
كوكب	kau̯kab
كولدير	kɔːˈeːɹ
كولون	kʰælun
كوم	kˈɔm
كويتي	kuezi
كويس	koˈajˈ
كويسة	kuaʔjɪsʰɑ
كويسين	kwaisˈiːn
كويكب	koaikebɯ
كويكبات	kˈuɾˈakkekˈɛdˌe
كوَيِّسَة	kuaːjˈisa
كوّش	kaɫwɨʃ
كيبورد	kibuɾt
كيبوردات	kibordot
كيس	kiz
كيس بلاستيك	kis plastiak
كيف	kˈif
كيكة	kɛːkɑ
كيمياء	kˈemˈmˈɪˈˈ
كيمياء حيوية	kæm ja ħɑjɑwɪːˈjɑ
كينيا	kˈeɪniə
كيوي	kiwi
كَتبْت	katˈpt
كَتَبنا	katabina
كَتَبِت	katabit
كَحّ	kˈɑħˈɑ
كَرَفَتّة	gɔrafɔtːɔ
كَنَاطِقٍ	kɑnɑtˈqɪm
كَواَلين	kɑwɑliːn
كُحّة	kɑħˈɑ
كُلِّنا	kɔlɛnɑ
كِبْرِيت	kɛbrɪt
لأول	li˨˩˦eu˨˩˦wʔ˨m˥˩
لا	lˈɛ
لا إحنا فاهمينهم	la næfæhmennem
لائحة	laħa
لابس	lebes
لاتفيا	lˈɑtviːˌɑ
لاحق	laːħæ
لاحِظ	laːħæz
لاذعة	laːðaʕma
لازق	lˈɛzˈɛ
لازقة	laza
لازقين	laziːn
لازم	lazim
لازم اشوف التليفزيون قبل ما انام	lɛzɨ maːʃufa aː televizjon ɑɓlɛmɑnɪm
لاقي	lˈeːiː
لاقية	naja
لاقيين	laʔajːæn
لاما	lama
لانج	lˈɛŋ
لانشون	lɑŋʃuŋ
لانُّه	leen
لاورا	laura
لاوس	leus
لايق	lˈeː
لايقة	lɪʔɑ
لايقين	lˈæjːˈiːn
لباسة القلم	la best ælʔælæm
لبان ترايدنت	ˈdeː ben tˈɾɑjdɯn
لبس (لِبْس)	lˈɪps
لبعضيهم	lɑbaʕdiːhem
لبن	lɛnbɑːn
لبنان	libnin
لبنى	lubna
لبني	labani
لحاف	lˈħæf
لحد	laħad
لحمة	laħm
لحمة مفرومة	laħma mafumah
لدي اضطراب نوبات	laːdaː ja əˈtɪrɑb nwbɛk
لذیذ	laziːz
لسة	lˈɪssə
لسه	lˈɛs
لعب (لِعَب)	laʕb
لعب (لِعْب)	laʕb
لعبة	aːlʕæbɑ
لعيب	laʕiːb
لعيبة	laʕibah
لغات	loɣʰeʔet
لغاية	loko
لغة	lˈoːgə
لغى	lˈˈaɣˈa
لف ودوران	laːfdoːrɔn
لفين	lefˈin
لقف	laʔaf
لقوا نفسهم	la nasˈsɑh
لقى	laʔa
لقيت	laʔit
للأسف	lilˈæsˈaf
لما	lma
لمض	dɪ̞mɪ̞d
لمون	lamuːn
لميع	lɑmia
لمين	lˈɛ̃in
لندن	lndn
لو	lau
لو سمحت	laː samħt
لوائح	laueːħ
لوحدك	ælʁɑħtæk
لوكاندة	lˈokondˈo
لوكسمبورج	lɔʃeŋbɔɾb
لولاكي	lˈunaːk
لون تركواز	lunt̪ t̪e kɔɛz
لون فسفوري	lun fʊs fʊrɪ
لياقة	liːˈɑq
ليالي	laiɛlɪ
ليبي	libi
ليبيا	lˈɪbiə
ليبيريا	ðaibirja
ليتوانيا	letwanja
ليختنشتاين	lˈɪçtənʃtaɪn
ليفة	liːfæ
ليك	lɛkɛ
ليل	lˈiːl
ليلة	liːlə
ليلي	lˈajlə
ليمون	laammonalaammona
ليمون [slash] لمون	la mˈon
ليه	li
ليه كده	likid
ليها	liːhɛ
لَين	lɪːn
لُزوم	ləzoːm
لُوكانْدة	lukondo
لِحَد	laħad
لِمُدّة	lemɔdˈe
مأزِق	mɑʕzɑq
مأساة	maʕsa
مأنتخ	mɛʔentax
مأَتحتِش	maːtaħtɑʃ
مؤدب	mwadə
ما	mɛ̃ː
ما تعرفيش الألف من كوز الدره	ɑtˈaʕraːfiːʃ ælˈælæf mæn kɑzˈdɑrɑ
ما حَدِّش	maħadˈʃ
ما شاء الله عليه	maː ʃaː ælˈlaʕa lh
ما عدا	maʕada
ما عليهش!	maʕ ælæʃ
ما عنديش قطة	maʕ ʕanðiːʃ ʔɔtːɑ
ما فيهاش	mæθiːhe̞ʃ
ما فيهوش	mafihoːʃ
ما كانش فيه محاضرات النهاردة عشان الثلج	mɑkɑnʃɪ fʲim ħadrat ælnɦardˈʁɑ ʔaʃɪːn ælˈtælk
ما كفاية بقي قلق يا عم	maːkfiːj biaːlaː ʔiʕæm
ما لُهش	mælˈʃ
ما لْهاش	malħæeʃ
ماتش	matsʰ
ماتش الكورة فيه شوطين	matʃakura fɨʃɔ tɛjnɔ
ماتقلقش	matˈevlas
ماتقلقوش	mɑtɛʔlɑɑːtʃ
ماتقلقيش	maːtaʔlʔiːsˤ
ماتنرفزنيش	nɛtneɾfɛzniːʃ
ماتوغوشنيش	matoʁoɣətʃnis
مارس	mˌeɪɾɪs
ماسخ	mˈɛsɛx
ماشفتش	maʃoftesʃ
ماشي	misi
ماشية	mˈˈakˈtˈʁa
ماشيين	maʃˈin
ماظنش	mɒzɒˈnlɒʃ
ماعتقدش	maːpˈælˈpɑːkɪtʃ
ماعرفش	maʕraːfʃ
ماعنديش	maʕtiːʃ
ماعْرَفْش	maʕrɑʃ
مافيش	maːθiːʃ
ماكانش	makanʃ
ماكلتش	makaltɨʃ
مالاوي	balewi
مالطا	mɑŋstɑ
مالقتهاش	ɑɢæbæʃ
مالك في ايه ؟	maː lˈk fiː ɪː
مالك مش على بعضك ليه؟	mɒilat mɒʃ ɒlɒbɒnt hlɒˈliː
مالكش فيه	maː lˈakʃ fiː
مالكيش فيه	malkɪk
مالوش حل	maːluːʃ ħal
مالي	meˌ
ماليزي	malizi
ماليزيا	malasja
ماليش	maːliːʃ
ماليش دعوة	melˈiʒ dˈaːvɐ
ماما	mama
مانجو [slash] مانجه	maka
ماوس	mˈaʊz
ماية	maja
مايصحش	majsħɑħɪʃ
ماينفعش	majːmvaʃ
مايو	meio
مبارك	moːboːrɔk
مبايل	mubaːj
مبتديتش	mʲiptʲdʲitʃ
مبتديش	mɛktdiːʃ
مبتز	mobtɒz
مبتكلش	maptakols
مبتكلمش	mabatkɛlˈlɛmʃ
مبسوط أوي اني شوفتك	maː bswt aw jɪnni ʃoftak
مبسوط اني قابلتك	maːbsuːt nɪʔabltak
مبسوطة	mapsuta
مبلول	naβ̞lul
مبيِيِِيبتسموش	mabijatjsmuːʃ
مبْلغ	mablˈa
متاح	muteː
متاخر	mtɑːxˈʁɑ
متبقاش بطئ !	maː tɪnɑːʃ bˈɑtˈɪʔ
متجوز	mʲitgɛwɨz
متحرّكتش	maːtˤɑħɑrˈkˈtɑʃ
متحف	matˈħaf
متربية	metrobeʎia
متسوح	mtsawħ
متشكرين	utʃakɾiɾ
متضايق	mˈɪdˈɛi
متعاملتش	maːtɑˈmɛlʃ
متعب	mutaʕb
متعبة	mtʕba
متعبين	mutaʕa
متعزبنيش	matˈaʕːabniːʃ
متعشم	mɪtʕɪm
متعصب	mˈeːtɑhˈassˈasp
متعصبنيش	maːtaʕˈsˈnʲiːʃ
متعصبهوش	maːˈtˤɑmˈhɑjˤ
متعصبوناش	maːtˤɑˈʕanˈnɑːʃ
متعصبونيش	maːtaʕɑsˤabniːʃ
متعصبوهاش	maːtˤɑːtˤabħɑːʃ
متعصبوهمش	matˁaʕˈabumʃ
متعصبوهوش	maːˈtˤɑmˈhɑjˤ
متعصبينيش	matˤɑsˈsˈbiniːʃ
متعفرت	mɛthaːfraːt
متفبرك	mɛtfæbrɪk
متفبركة	mˈeːdfˈabriːkˈa
متقدم	mʲɪtʲadːɪm
متقدمة	mitɑdˈmɑ
متقلقيش	matˈlˈiːtʃ
متكبر	utakaber
متكلمتش	mætkælːɪ̞mtɪ̞ʃ
متلّج	metˈɛləg
متناك	mˈɛtnət
متنرفز	mʲipnɛrfɨz
متنرفزة	mɪ̞tnɛɾfɪ̞zɑ
متهيألي	mtɪiːʔliː
متوغوش	nˈetˈoˈaˈgvˈis
متيسرة	mˈitˈassˈoˈɾˈa
متين	lˈitˈin
مثال	nesˈeːɬ
مثل	masˈl
مثلاً	mɑsɑlɑn
مثلث	msls
مجانص	maːgoːnəs
مجرات	magarot
مجرة	magara
مجرد كده	mugɑr rɑdɯkʲɪdɑ
مجرم	mugrɛm
مجرمة	mˈˈogrˈɛma
مجرمين	mugrimiːn
مجروح	maːgɾuːħ
مجروحة	magroːħa
مجروحين	mgrjˈħiːn
مجري	nagari
مجلة	magla
مجموع	mˌɑgmˈoːɹ
مجموعة	magmurɑ
مجموعه	madmoaː
مجنون	mgnˈuːn
محاسب	mˈˈɑːʃæsˈb
محاسبة	mʊˈsˈda
محاسبين	maħasˈbeːn
محاضر	maːhadɪr
محاضرات	mʊ̃ɑdrɑt
محاضرة	mʊ̃ħɑdˈdɾɑ
محافظ	mʊʁʊ̃ʊ̃t
محافظات	mˈʌʃfzɒt
محافظة	vɔxavzɛ
محامي	moxemi
محامية	mʊ̞hʊ̞mɪ̞
محامين	mʊʃʰmɪn
محاور	mʊ̞ʃʲɑuɚ
محبش (مَحَبِّش)	maħabʃ
محبش (مَحِبِّش)	maħabʃ
محتاج	maħtɛg
محتاجة	mˌahtˈɑgˈa
محتاجين	maħtagiːn
محترم	mɑħtɑrɑ
محترمة	mɑħtɑrɑmɑ
محترمين	mɑxtɑrɑmiːn
محدود	maħduːd
محدودة	maħduːda
محدِّش بيتلسع من الشوربة مرتين	mɑħedʒ bʲit liːsæʕ mɑn æʃʃurba mrdn
محرم (مُحَرَّم)	mʊħarˈm
محشي	mæhʃiː
محشي كرنب	maħʃiːkruːn
محشي كوسة	maħʃiː kɔsɛ
محشي ورق عنب	maħʃi ʔaraʔanam
محصول	maħsuːl
محصول القمح	maħsˈdˤ ælˈnæx
محضر	mħdɑr
محضَّر	mɑħɑdˤar
محطات	mahadtɑt
محطة	mahˈtː
محطة أتوبيس	mħt ʔutubiːs
محطة القطر	mahttæ alˈqɑtˤr
محطة بنزين	maħtt bɛnziːn
محفظة	maħfaza
محل	mæhæl
محلات	mæhlaːt
محلي	maħælɪ
محليات	mɑhɑlijaːt
محلّ	mæhæl
محمد	mˈħamːad
محمد الشناوي	mahʔamad ælʃiːnæmi
محمد ثروت	mˈɑːhæmmːad θˈɑrwˈt
محمد دياب	mʊħɑmːɑ ældiːb
محمد رمضان	mahˈɑmmad ramˈdˤɑn
محمد صلاح	mahemːad sˈlɑːħ
محمد صلاح غالى‎	mahemad sˈlaːʔ gɑlɑ
محمد عبد الشافي	mahend ʕabd ælˈʃæːfi
محمد علي باشا	mˈɑːmmˈd ʕliː bɑːʃm
محمد ناصر السيد النني	mʊ̞hɛmmɫæt ʁoːsirɪ̞ ælsæj jʲdænʲɪk ʔɪ̞n
محمود الليثي	maħmuːd ælˈliːsj
محمود حسن	mahmuːd ħasˈn
محمود حمدي	maħmuːd ħamdi
محمود عبد الرازق	maħmuːd ɑbdɾæzɑk
محمود عبد الرازق "شيكابالا"	maħmuːd ʕabd ɑʔalrɑʕ ʃakabala
محمود عبد المنعم‎	mahmud ʕabd ælmanʕan
محمول	baxoɾ
محور	maħwaːr
مخابز	ˈeʁaːbiz
مخازن	mˈaχɛzˈi
مخبز	mɑχˈbɑz
مختلف	mʊ̞xtɑɾɪf
مختلفة	mxtalfa
مخدات	mˈɑxˈtˈe
مخدة	maxˈda
مخزن	maxzæn
مخنوقة	maxnuːʔa
مخيف	muxˈjif
مدارس	mʲɛdʲɛʲɛrʲɪs
مدام	mædæm
مدحت	mdħt
مدرب (مُدَرِّب)	mʊðere
مدربات	muːdˈɛlɹepˈaɪt
مدربة	mˈoldˈˈɾˈɛbˈa
مدربين	ãmblaɾeβ̞jẽn̪
مدرسة	madrasa
مدرسة (مَدْرَسة)	mˈadˈrˈasa
مدرسة (مُدَرِّسة)	mˌoðˈeˈɾɹˌesˈa
مدعوق	mænd̥eːruːp
مدغشقر	mædɑgæʃqɑr
مدمس	mʲiðæmmʲiz
مدن	mudˈyn
مدنها	madnɦa
مدينة	mɑdiːnɑ
مرات	mˌiːɾˈoːt
مرات خال	mˈraːt χˈeːl
مرات عم	mˈraːtˈam
مراته	mʲiɾotʊ
مراتي	brotsi
مراجعة	mæˈrɑːgɑ
مرام	mˈaːrˈɑːm
مراهم	mˈaːrɑːhm
مراوح	marɔɦ
مراية	mjɾeja
مربع	mʊˈrɔba
مربى	mrɔbba
مرتبة	nɑrtɑgɑ
مرتكب	mortækïb
مرعب	moːrʕɛnd
مرفودة	marfuda
مرفودين	mæɾfˈudˈiːn
مرفوض	marəfud
مرفوضة	marfuda
مرفوضين	marfuziːn
مرقة	maɾa
مرنبتاح	mjˈrɪmbɪ̞tˢe
مرهق	mʊ̞rˈhɑkmʊ̞rkhɪ̞d
مرهم	märhʊ̞m
مروان محسن فهمي ثروت	mɑːrɑːˈwɑn mɑħsɯb fahmɪ sɑrwɑt
مروة	marwa
مروحة	maɾwħɑ
مروحتش	maːrʊ̞ħtɪ̞ʃ
مروّح	mruːɑ
مريم	mæriːjɪm
مرّات	mˈoːrˈotː
مرْفود	malfûð
مز	mˈuz
مزاج	mɑzɑjɑk
مزبلة	mazbala
مزقطط	zɑːtˤadt
مزمز	mˈɛzmiz
مزہ	muzˈa
مساجد	mɑsɛːgid
مساحة	nisˈɑhˈa
مسارح	masˈæɾæ
مسافر	misajfeɾ
مسافرة	miːsafra
مسافرين	maːsafˈriːn
مسبِّك	mɛsɛbɛk
مستحيل	mastˁæħiːl
مستحيلة	wˈʌnˈʌvˈeɪˈsɪŋgəlmˈænˈændmˈaɪˈɔfɪsflɔː
مستشفى	mʊ̞stɑʃfɑk
مستطيل	musttotɪr
مستعجلة	nsdˤɑʕgjla
مستكة	nistika
مستكنيص	mokɾadʒekoniask
مستنقعات	mustɑnqɑɾɑt
مستودع	mustawdaʕ
مستودعات	mustawdaːrˈt
مسجد	mʁsgʁ
مسجد الرفاعى‎‎	masgæd alræfˈʕiː
مسخسخة على روحها من الضحك	nsxsxaː rħ æmæddæhɪk
مسرح	mɯ̞srɑh
مسرحيات	masˈraħaːhijat
مسرحية	masraħia
مسطرة	mastara
مسطرد	mustɔɾut
مسطردة	mastarda
مسقعة	dˈʒˈsˈteˈtˈʁˈistˈ
مسكر	mʏ̞sɑkːɑr
مسلسل	mˈusliːtˈzˈl
مسلسلات	mslslsfʁt
مسمار	musmˈɔr
مسموحلِك	maːsmʃlˈk
مسورة	mɐsˈuːɾɐ
مسْحوق	masˤaħuːʔ
مش	mɪ̞s
مش دلوقتي	mɑːʃ dˈiʁ lwɑtˈi
مش شغلك	mʃ ʃɒvˈlɒk
مش عارف	ʃaːrħa
مش عارفة	miː e̞ʕkʰaʕaʕaʕa
مش علي بعضك	miː ʃaːɫd aːbaːndak
مش علي بعضه	maʃu ʕalɑbaʕadu
مش فاهمة	musfɛrma
مش قادر	miʃ ejdiɾ
مش مشكلة	mis moskˈili
مش معقول	maʃ maʕuːl
مش معقولة	aːsmaʕ ɑlɑ
مش هيبتدِِى	mɪ̞ʃ hæj btʲɪdiː
مش ينفع	mɪ̞ˌɕiːnˈfaː
مشاريع	mæʃariːa
مشاكل	maːʃɛːkɛl
مشاوير	mæʃɑːr
مشايخ	mɛʃɛjɪ̞χ
مشربتش	mæsrʲipðʲɪʃ
مشربش	mɛsʃrpsmasropes
مشربية	maːʃɾabɛja
مشروح	maːʃruːɦ
مشروحة	maːʃruːħa
مشروحين	maʃrħjæn
مشروع	maʃɫoa
مشغول	mɛsvoɯl
مشفتكش بقالي كتير	maːʃuft taːk ʃɛvɛ ɛlʲik tsijɾ
مشكلة	mʊ̞ʂkɪ̞ɫæ
مشمش	mˈɪʃmɪʃ
مشهور	maʃxuɾ
مشوار	mˈesˈwˈaɾ
مصدر	mɔzdɔr
مصر	mɔstr
مصر الجديدة‎	mosr gʲiridã
مصر جنوب البحر المتوسط	mtsr gɑnˈzɑl baxˈra ælˈmɑtˈvˈʔaθˈdt
مصر في شمال افرقيا	masr ɑfʃaːn æfɾuːkjɑ
مصراوي	mosrɔuʲi
مصري	mɔsriː
مصر‎	mˈɪsɹ
مصطبة	nastaba
مصطفى	mʊstɑfɑ
مصيبة	nˈusɪbˈa
مضاد حيوي	mdˤiːz ħæjˈwe
مضحك	mʊtħɑk
مضيفة طيران	muziːfet taːjˈɾɑm
مطار	mɑtɑːr
مطارات	mˌɑtˈʊrˈat
مطاعم	mˈˈatˈarˈm
مطافي	motovi
مطامِح	matameh
مطبخ	mattbɑq
مطر	mɑtɑr
مطر تلج	motɔr tɛlk
مطرة	matara
مطرح	mˈatˈraħ
مطروح	matruːh
مطعم	matam
مظبوط	mˌɑzguːt
مظبوط بالمللي	mabɑt bɪn mɪlːi
مع	nˈaʁ
مع مين؟	mɑːmɪn
معابد	maʁɑbɛd
معارض	maʕaːrɑd
معاش	maʕɪːs
معاشي	mˈˈʁaʃi
معاك	maʁˈɑk
معالق	maʕaliːq
معاه	mˌaɾˈeɪ
معايا	maʕiː
معبد	maːbˤd
معبد إدفو	maʕbdˤ ʔˈdˤafu
معبد الأقصر	maʕbde lʔasˈsˤr
معبد الكرنك	maʕbð kɑrnɑk
معبد حتشبسوت	mʰbadɑht tʃɪp zud
معترف	maʕtˤrf
معجزه	muːʔaːgzɑ
معجون سنان	maʕgɔn sɛnɛn
معرض	maːʕardˤ
معرفش	mʊ̞rəvʃ
معرفش (مَعْرَفش)	mˈɑɾəfs
معرفش (مَعْرِفش)	maʕrɪtʃ
معرفش إذا كان هنا ولا مشي	maːraf ʃiː zəkən hina waˈlaːmɪʃi
معركة	maʕrakɑ
معزة (مِعْزَة)	nˈʕæz
معزوم	maʕzuːm
معصلج	maʕslag
معلش	maʕlæʃ
معلقة	maʕlɑʔ
معلم	maʕælæm
معمولة	maʕmula
معنديش ادنى فكرة انت بتتكلم عن ايه	maʕandɪʃ ʔadn fˈkɾɑː tbtˈkælæm ʕan ɑ
معوض	maʕawad
معوقات	maʕoːqot
معْلومات	mɑɢlumˈt
مغادرة	moːɣɑdra
مغربي	naɣrɛbi
مغرفة	maːgɯrɑʃlam
مغيم	maɣæjjɪ̞m
مغيمة	maɣaiːma
مـَخـَدّ َة	mxdˈh
مـَفروش	mɛfrʊʃ
مـَقفول	maʔafwl
مـِرا َيا	mʲireːjæ
مفاتيح	nafɑtiːh
مفتاح	mufːtɛ
مفتقد	muvtɑqɯ̞d
مفرش	mafraʃ
مفهومة	mafˈuma
مفيش	mafˈiʃ
مفيش دخان من غير نار	mafiʃ dɔ xɛn mɛn ɣɛr nɔr
مفيش مانع	maː fiː ʃmeːne
مفيش مدرسة النهاردة عشان التلج	maː fʲiːʃ mɛdrɛsɛn naːxɔrd aːʃunɛttɛlg
مقاس	mˈaɪˈɛs
مقاصف	maɔːzəf
مقالات	maqɑlɛt
مقالة	maqɑlɑ
مقاهي	maqɑːhi
مقدونيا	mɑɟɯdɔnɪa
مقصوفة الرقبة	mˈaːsəlv tˈɛrɾɑmɯ
مقطوع	matua
مقطوعة	maqtua
مقطّعة	mɑtˤ�vˈʕatˤ
مقطَّع	mʏ̄ːotːa
مقفول	maʔfˈuːl
مقلاة	maːʔ
مقلمة	maʕælma
مكاتب	mˈkˈtiːb
مكالمة	mˈuːkælmˈa
مكان	mɑkɛn
مكتب	maktˈab
مكتب القبول	maktab aːlʔubuːl
مكتب القبول في جامعتِك	maktab aːlʔabuːl fgmʕʔitk
مكتبات	maktabẽt̪
مكتبة	maktˈaba
مكتبة مصر العامة	mktbt mɑsˈr ælˈʕæm
مكتبش	məkʰətəbʃ
مكتوب	maktˈub
مكتوبة	mktb
مكتوبين	maktuːviːn
مكحكح	mˌekɑhˌkhˌkɑhˌ
مكرونة	makaɾona
مكسوف	maksou
مكسيكي	maksikˈi
مكوة	mɛ̃˨kwˈa
مكياج	mˈˈkijˈx
ملابس	malabis
ملايات	elajet
ملاية	mjˈlˈeːɑ
ملايين	malaːjˈin
ملبن	mɛlban
ملح	ˈmælæ
ملحلح	ælaħlaħ
ملغي	laːlɣ
ملغية	maːalɣˈiːa
ملل	melˈɛl
ملهاش	maːælˈheʃ
ملهية	maːlhaja
ملوخية	ɑləxɪ
ملوخيه	malaukʰia
ملون	milaue
مليان	malijˈen
مليت	maliːt
مليم	mænˈlˤiːm
مليون	mɪlˈjɔn
ملّيت	mɑllˈt
ملْهاش	maːælæˈʃ
ممثل	mɑ̃asˈɛl
ممثلة	mˈˈumˈestˈlˈa
ممثلين	nɔmɛstɾˈinɑ
ممدوح	mamendoːɦ
ممكن	momˌeˈnˈkyeˈn
ممكن أساعدَك؟	momkɪn saːadak
ممكن أساعدِك؟	vumkina saːdaːk
ممكن اجرب القميص دا ؟	æmˈkæn ægˈrˈab ælˈmɪzda
ممكن اعرف اسم حضرتك	mamkn ʕɑːrɑf ʔasˈmħadˤrˤa
ممكن الرقصة دي ؟	momkɪ̞n rɑːk sɑː diː
ممكن تجي	mum kintigi
ممكن تعيد تاني عشان أنا مش فاهمة ؟	momkɛntɑ ʔajtæːnɪ ɑʃɑːn ɑnɑ mɪːʃ fɑhmɑ
ممكن توريني البنطلون دا	momkɛnt tɛwɑrˈniːnɛ aːlbantalonda
ممكن توصل له الرسالة دي	monkæn tɔzˈtˤl rɪˈsælædi
ممل	momˈɛlˈ
مملة	mˈomˈɛlˈla
مملين	mˈomˈʊlˈlˈin
ممنوع	nɛmnɔɾ
ممنون	mamnun
من	nˈɪn
من غير	mɪ̞n ɣɪ̞r
من فضلك	minttzətsək minttzətsik
من فضلك (من فضلَك)	mi fˈad ʁˈup
من فضلك (من فضلِك)	mɪnfˈolˈblikˈ
من فضلك الساعة كام ؟	manoːlk saːˈsˤaħam
من وقت للتانى	menoa tɛlɛtɛni
مناخ	munˈɛx
مناخوليا	manajxolja
مناخير	manxˈiːr
مناظِر	manɑˈzɯr
مناهضين	mnohdˈjːn
منتج	muntad
منتجات	mɔ̃tˈagetˈt
منتجين	mˈˈultigˈiːn
منتدى	muntadˈa
منتِج	mˈˈuntˈig
منديل	mɑnˈdiːl
منطقة منكوبة	mantˈɪlˈɑ mankˈuvɪ
منغولي	maːngʁuːli
منغوليا	manʝoːlia
منقرع	mɑŋqɑraː
منكوبة	menˈkˈuba
منكوش	ɑ̃lkˈuʃ
منها	min˩˥ːhɑː
منور	manuɾ
منور (مِنَوَّر)	menow aɾ
منورة	mʲanawɔɾo
منوم	mɛ̃ˌaːnwɛm
منين	meniːn
مها فاكرة ايه من طفولتها؟	mähɑː fakraː iːmintu foːlthˤa
مهرجان	maːraːgɑːn
مهرجانات	maʁrabrɑɑnɑk
مهكع	mahakːa
مهم	mʊ̞hʲɪm
مهمة	mˈoːˈhˈemma
مهنتي	mˈeˈhnˈiti
مهندس	mʊmʊhɑndɪs
مهندس معماري	mɑhɪndˤas maʕmaʕli
مهندسة	mɔgɛndesa
مهندسين	mʊʒdɪsˈin
مواسم	mɔweːsɛm
موافقة	mʁfʁ
موافقين	mˈɔːfɛnˈ
موافِق	mwˈaːfˈrɛ
مواقع	mɑwɑqɑ
موبايل	mˌubˈɑjəl
موبايلات	moːbɑjˈnɑt
موتوسيكل	motoˈsɛkl
موتوسيكلات	motsɪklɛt
موجود	mau̯xˈud
موجودة	malguːda
موريتانيا	mˌoɾˈitanɪa
موريشيوس	mˌɯɾɯ̞tʃjɯls
موز	mˈuːz
موزة	mˈuːza
