!	kɑŋ˥˥tn˥˩ kɑŋ˥˥
"apple"怎么说？	æpɪl˨ tsɑŋ˨˩˦mɤ˥˩ʂʰu˥˥
in fact,chinese won‘t say '回来家'.if you wanna say 'go home', just say'回家'.if you have already arrived home now，you should say 'already回到家'。	xweɪ˧˥ tɕja˥˥xweɪ˧˥tɕja˥˥ xweɪ˨˩˦tɑʊ˥˩tɕja˥˥
in fact,chinese won‘t say '回来家'.if you wanna say 'go home', just say'回家'.if you have already arrived homenow，you should say 'already回到家'。	xweɪ˧˥tɕja˥˥ xweɪ˧˥ tɑʊ˥˩tɕja˥˥
internship	ĩ˥˥tsʰən˨˩˦ʂip˨˩˦
ipad怎么用？	aɪ˥˩pʰaɪ˥˩ tsən˨˩˦mɤ˧˥jʊŋ˥˩
ip地址	aɪ˥˥pʰi˥˥ti˥˩ ʈʂɚ˨˩˦
irina	ilˈaŋ˨ˈa˥˧
it公司	ai˥˥tʰi˥˧kʊŋ˥˥sɯ˥˥
j	tɕi˥˥
j-20是前掠翼战斗机	ʈʂɤ˥˥aɻ˥˩ʂɚ˧˥ ɕtɕʰjɛn˥˩liɤ˥˩i˥˩kɑntaɻ˥˩tɕi˥˥
jackie为什么不在巴黎?	ʈʂaːkj˥˥ wɤ˨ʂɤŋ˥˩  puzaɪ˥˩pa˥˥li˨˩˦
jetzt bist du dran.[slash]现在轮到你了。	t i˧˥tɑʊ˥˩ni˨˩˦ la˥˥
jia zhang-ke	tɕja˥˩ tɑŋ˥˥ kʰɤ˥˥
jiakuai jingji fazhan, danhua minzu wenti	tɕja˥˥ tɕtfa˥˥ʈʂan˨˩˦ tan˥˩xwa˥˩ tsu˧˥uən˥˩tʰi˧˥
jiang jieshi	tɕjɛn˨˩˦ʈʂtɕjɛ˥˩ʂɚ˧˥
jin xuan	tɕĩŋ˥˥ɕɥœn˥˥
jingwang	t˨˦iu˥˧ŋ˥˥
jiulong	tɕjoʊ˨˩˦lʊŋ˧˥
jiā yóu	tɕa˥˥
jiǎozi	ʈʂu˥˥ʈʂu˥˥jɑʊ˨˩˦tsɯ˧
jk制服	ʈʂɤ˥˥kʰeɪ˥˥ʈʂɚ˥˩fu˧˥
junwang	tɕyn˥˥wɑŋ˧˥t˥yn˥˩wɑŋ˧˥twan˨˩˦
kangxi	kʰɑŋ˥˥s̺i˥˧
killer=殺手	kje̞ɾɯ̞ɾsakʲi
kung fu	kʰʊŋ˥˥ fu˥˥
kùnhuò	kʰuən˨˩˦xuɔ˥˩
k字头的火车	kʰeɪ˥˥tsɯ˥˩tʰoʊ˧˥  xuɔ˨˩˦ʈʂʰɤ˥˥
k歌	kʰe˥˥kɤ˥˥
k粉	kʰeː˧˥sœːŋ˧˥
lang lang	lɑŋ˧˥lɑŋ˧˥
lao tsu	lɑʊ˨˩˦tsɯ˧
laogai	lɑʊ˨˩˦kài˨˩˦
le morceau	aɪ˧˥kʰʊŋ˥˥kʊŋ˥˥ʈʂʰən˧˥
li dazhao	li˨˩˦ tkʰoʊ˥˥satʰli˧
liè	ljɛ
local fire department can show you how to use an extinguisher properly.当地消防部门可以教你如何正确地使用灭火筒。	tɑŋ˥˥ti˥˩ɕjɑʊ˥˥ pu˥˩mɤŋ˧˥ pu˥˩mɤŋ˧˥ kʰeɪ˨˩˦ i˨˩˦ ʈʂli˧˥ ʐxɤ˧˥ʈʂɤŋ˥˩tɕʰɥœn˥˩ ʂɚ˨˩˦
luo weng’an	luɔ˥˩ an˥˥
lái	lã˥˥
ma fuxing	ma˨˦ fu˥˧sioŋ˥˧
ma shaowu	ma˨˩˦ʂɑʊ˥˩u˨˩˦
ma zhongying	mɑ˥˥ ʈjɪŋ˥˥
marmite，马麦酱，一种早餐酱。	mʰɑmʰi˥˩t ma˨˩˦ma˨˩˦i˥˩tɕjɑŋ˥˥ i˥˩ʈʂʊŋ˨˩˦tsɑʊ˨˩˦tsʰan˥˥tɕjɑŋ˥˥
meta	mɛta
mou-sien tseng	tsɤŋmou˨˩˦
mp3	ɛ˨m˥˩ pʰi˥˥san˩˩˦
mr. shangguan is a very capable engineer.	ʂɑŋ˥˩kwan˥˥ɕjɛn˥˩ʂɤŋ˥˩ i˥˩ i˧˥kɤ˥˩ feɪ˥˩ ʈʂʰɑŋ˥˥  nɤŋ˧˥li˥˩ kʊŋ˥˥ʈʂʰɤŋ˧˥ ʂɚ˥˩
muxi	mu˥˩ɕi˥˥
méiyou qián	meɪ˧˥joʊ˨˩˦tɕʰjɛn˧˥
méiyǒu	mei˨˩˦  joʊ˨˩˦
n95口罩	n˥˥tɕɪ˧˥wkʰoʊ˨˩˦ʈʂɑŋ˥˩
nai xiang	naj˨˩˦ɕjɑŋ˥˥
nasa的外太空探测技术日臻完善	nɑ˥˩sa˥˩  waɪ˥˩tʰaɪ˥˩kʰʊŋ˥˥tʰan˥˩tsɤ˥˩ɕʂu˥˥ ʐɚ˥˩ mɑn˧˥ʂan˥˩
nba	nba
nihao	ni˨˩˦xɑʊ˨˩˦
nin hao	nɪŋxɔ˨˩˦
nián	n
nmb	n˩˩˦i˥˩mã˥˥ pi˥˩
nuǎnhuo	nwa˥˧ xuɔ˥˧
nüwa	njy˨˦wɑ˥˥
nǐ	dˈiː
nǚ	n
n维极小子流形	n˥˥ tsɯ˧˥ljoʊ˧˥ɕɪŋ˧˥
o	wˈɔ
oedipal	njoʊ˨˩˦ ʈʂoʊ˥˥ ʂɚ˥˩ njoʊ˨˩˦ ʂxɤ˧˥mi˨˩˦ ʈʂoʊ˥˥
ok綳	ɔːk̚˥ pɐŋ˥˥
papi酱	pʰi˨˩˦ tɕjɑŋ˥˥
picard-fuchs 微分方程	pkfˈʊk˨˩s˨˩wɛː˨ fənfənŋ˥˥ fɑŋ˥˥ʈʂʰɤŋ˧˥
piào	pˈɛˈɛ
play 商店	pʰu˨˩˦pʰu˨˩˦pʰu˨˩˦pʰu˨˩˦pʰu˨˩˦pʰu˨˩˦pʰu˨˩˦lai˥˥leɪ˥˩ ʂɑŋ˥˩tjɛ˥˩
play 音樂	pɔ˥˥lɤ˥˩ i˥˥ɥ˥ɥ
polo衫	pʰou̯˨˩saːŋ˥
polo衫，直譯為馬球衫，亦可稱為網球衫、高爾夫球衫。	pʰoʊ˥˥tʊ˥˩san˥˩    ma˨˩˦tɕʰoʊ˧˥ʂan˥˩ i˥˩kʰɤ˨˩˦ʈʂʰɤŋ˧˥wɑŋ˨˩˦tɕʰoʊ˧˥ʂan˥˩ kɑʊ˥˥lɤ˨˩�
po照片	pʰoʊ˥˥ʈʂɑʊ˥˩pʰjɛn˥˩
po網	tʰəʊ˥˥wɑŋ˧˥
przepłacajcie	mau˥˥kʰoŋ˥˥lãn˨˩tsʰɤ˥˥
p图	pʰi˥˥ tʰu˧˥
q:请问广州友谊商店在广州市区一共有几家分店呢？a :有四家店呢，分别是环市东店 正佳店 国金店和友谊outlets购物中心。	tɕɪŋ˥˥kwɑŋ˨˩˦ʈʂoʊ˥˥  i˧˥ʂtjɛn˥˩ tsaɪ˥˩kwɑŋ˨˩˦ʈʂɚ˥˩   i˥˩kʰʊŋ˥˥toʊ˥˩ttɕja˥˥fɤŋ˥˥tjɛ
qilin	tɕʰi˧˥lɪŋ˨˩˦
qin shi huang	tɕʰɪn˧˥ ʂɚ˨˩˦ ɕ
qiong yao	tɕʰjʊŋ˨˩˦jɑʊ˨˩˦
qixi	tɕʰi˥˥tɕʰi˥˥tɕʰi˥˥tɕʰi˥˥
qiū	tɕʰjoʊ˥˥
qq	kjo˥˥kjo˥˥
qq感	kʰiu˥˧kʰiu˥˧ ka˥˥an˥˩
qq感不是常用的词汇表达方式，q是闽南语的发音，表示食物有弹性。	kɪ˥˥ kan˥˩pu˥˩ ʈʂʈʂʰɑŋ˧˥  tsʰɯ˥˩xweɪ˥˩ pjɑʊ˨˩˦tɑ˥˩fɑŋ˥˥ kɪ˥˥ ʂɚ˥˩ mɪŋ˧˥  y˨˩˦  ɕjɑʊ˨˩
qīnghǎi	tsiŋ˥˥xaɪ˨˩˦
q勁	kiu˥˧tsĩŋ˥˧
q弹	kio˥˧ tʰan˨˩
q彈	kʰi˥˥ tʰan˧˥
rong yiren	ʐʊŋ˧˥i˥˩ ʐən˧˥
rong zongjing	ʐʊŋ˧˥tsʊŋ˥˥tɕɪŋ˥˥
ruili	ɹˈɛjli� ɑ˥˥
rì	y˥˩
s 3 是最小的非阿貝爾群。	aɪ˥˩ san˥˥ ˥tsweɪ˥˩ɕjɑʊ˨˩˦ feɪ˥˥apeɪ˥˩ aɻ˨˩˦tɕʰyn˧˥
s 3 有 3 個共軛類	aɪ˥˥sɯ˨˩˦ sa˥˥joʊ˧˥sakə˥˩  ɤ˥˩ leɪ˥˩
s 3 的換位子群	ssaən˥˥   tsɯ˧˥t
s4电视设置	sɯ˥˥ sɯ˥˥  ʂɤ˥˩ ʈʂɚ˥˩
scp基金会	sɛ˥˥pi˧˧ tsi˥˧tɪŋ˥˥fu˥˧
see note 16 on p. 223.参见223页的注解16。	tsʰan˥˥tɕjɛn˥˩ ʰpaɪ˨˩˦ ʂɚ˧˥san˥˥jɛ˥  ʈʂʰu˥˩tɕjɛ˨˩˦ʂɚ˧˥ljoʊ˥˩
shang	ʂa˥˥
shanhaiguan	ʂan˥˥xai˨˩˦kwan˥˥
shaoguan	sɑʊ˥˥kwan˥˥
shaoshu minzu	ʂɑʊ˨˩˦ʂu˥˩ mɪŋ˧˥tsu˧˥
sheng shicai	ʂɤŋ˥˩ʂɚ˥˩tsʰaɪ˧˥
shoumei	səʊ˥˥meɪ˧˥
shuōhuà	ʂɤ˥˩
shìjiè	ʂɚ˥˩tɕjɛ˥˥
shī	ʂɚ˥˥
shōu	ʂɤ˥˩
shūcài	ʂu˥˥tsʰaɪ˥˩
skr	skˈɑɹp
sucheng	su˥˩
t-恤衫	tɕy˥˩ ʂan˥˥
tang zhong	tʰaŋ˧˥tsʊŋ˥˥
tao xisheng	tʰaʊ˧˥ɕi˥˥ʂɤŋ˥˩
tesla行政總裁馬斯克	tʰesɪ˥˩ lɑ˨ ʈʂɤŋ˨˩˦ ʈʂ ttsʰaɪ˧˥ ma˨˩˦ sɯ˥˥ kʰɤ˥˩
tiān	tʰjɛn˥˥
tiē	tie˥˧
tofu	tɤ˥˩fu˨˩˦
tuī	pwˈe
táo	tʰra˥˩
t卹	tɕy˥˩
t台	tʰi˥˥ tʰaɪ˧˥
t恤	tʰi˥˩
t恤衫	tɕʰi˥˥ɕʂɤŋ˥˥
t賉衫	ti˥˩ʂy˨˩˦ʂan˥˥
u	u
up主	ap zʊɣ
u盘	u˥˥pʰan˨˩˦
v字手势	weɪ˥˥ ttsɯ˥˩ ʂɚ˥˩
wang hongwen	wɑŋ˧˥ xoŋ˧˥ uən˧˥
wang wei	wɑŋ˧˥ wˈʰiː˨˩˦
web服务器	wɤ˨p˥fu˧˥ʐu˥˩tɕʰi˥
weiliu	wˈi tljˈu
wengang	wˈɪn gɒŋ
willmore 猜想	wɤ˨m˥˩ɔ˨ʰtsʰaɪ˥˥ɕjɑŋ˨˩˦
windows资源管理器	wɪŋ˥˥tʰoʊ˧˥ sɯ˥˥ ʈʂɚ˥˥yɛn˧˥ kwan˨˩˦li˨˩˦tɕʰi˥˩
wu zhongxin	u˧˥ʈʂʊŋ˥˥ɕɪŋ˥˥
während meines urlaubs 在我度假期間	və˥˩xɤ˧nd˥ mɪn˧˥us˥˩wɔːlɑːps tsaɪ˥˩uɔ˨˩˦tu˥˩tɕja˥˩ tɕʰi˥˥tɕjɛn˥˥
wèi	vˈeɪ
wén	wˈʌn
wǔxiá	u˨˩˦ɕʰa˥˧
x 防守	ɛks˥˥f˥ŋ˨˩˦ʂoʊ˥˩
xi jinping	si˧˧tĩŋ˨˩pʰiu˨˩
xiafang	ɕja˥˩fɑŋ˥˥ ɕja˥˩ ɕja˥˩fɑŋ˥˥
xianglu不是汉语，只好读作香炉	mhm
xiaomi	siau˥˥mi˨˩˦
xiaoyuan liu	ljoʊ˧˥ɕjɑʊ˨˩˦ɥœn˧˥
xibu da kaifa	ɕi˥˥ pu˥˩ ta˥˩kʰaɪ˥˥fa˧˥
xieyi	ɕjɛ˨˩˦ ɕjɛ˨˩˦ɕjɛ˧˥i˥˩
xincheng	tɕɪŋ˥˥ʈʂʰɤŋ˧˥
xiongnu	sioŋ˥˥nu˥˧
xiǎoxīn	ɕjɑʊ˨˩˦
xuetang	ɕtʰɑŋ˧˥
xujiahui	ɕy˧˥tɕja˥˥
xunhua	ɕyn˨˩˦xwa˥˩
xuri	ɕy˥˩ ʐɚ˥˩
xuán	ɕɥœn˨˩˦
xīn	ɕɪn
x光	ækskoːˈeːn
x光检查	ɛs˥˥kwɤŋ˥˥tsjɛn˨˩˦tsʰa˥˥
x光片	taɪ˥˩ksɚ˥˩ kʰwɑŋ˥˥pʰjɛn˨˩˦pʰan˨˩˦feɪ˥˩tɕɪŋ˨˩˦kuɔ˥˩laɪ˧
x光行李检查机	ɑɪks˥˥ kwan˥˥ tɕɪŋ˧˥ li˥˩  tɕjɛn˨˩˦ʈʂʰa˧˥
x射線由x射線管產生	aɪ˥˥ sɤ˥˩ ʂɤ˥˩kwɑŋ˨˩˦  aɪ˥˥ sɤ˥˩ ʂɤ˥˩ kwan˨˩˦ʈʂʰan˨˩˦ʂɤŋ˥˥
x射线	ɕsɯ˥˥ʂɤ˥˩
x档案	ɛ˨˩˦kɤ˧˥sɯ˥˥tɑŋ˥˩ an˥˩
yang jiechi	jɑŋ˨˩˦ t
yang xiaoming	jɑŋ˨˦siau˨˩˦mĩŋ˧˥
yang zengxin	jɑŋ˨˦tsən˥˥sin˥˥
yang zuanxu	jɑŋ˨˩˦tswan˨˩˦ ɕy˥˩
yao wenyuan	jɑʊ˨˩˦uən˧˥ɥœn˧˥
yin yong	ʔɪŋ˥˥hĩŋ˥˥
yucun	y˨˩˦tsʰuən˥˥
yundi	yn˧˥
yuè	jˈeɪ
yuètù	ɥœ˥˩ tʰu˥˥
yóulǐ	joʊ˨˩˦li˨˩˦
yú	ˈaɪ
yīqǐ	i˥˩tɕʰi˧˥ i˥˩tɕʰi˧˥i˥˩tɕʰi˧˥
zaoshang	auɾoɯˈæt ənd mʌtˈuˈɑˈɾəb ˈænd mˈɔ̃t ˈænd mˈɔ̃t ˈɔːlsət
zeguozhen	tsɤ˧˥kuɔ˧˥ʈʂən˥˩
zeng jize	tsiŋ˥˥ʈʂi˥˩tsɤ˧˥
zhang binglin	tɕiŋ˥˥ tĩŋ˨˩˦
zhang chunqiao	ʈʂʰwan˥˥tɕʰjɑʊ˧˥
zhang chunxian	ʈʂʰuən˥˥sɪn˧˥
zhang peiyun	ʈʂɑŋ˥˥ɕjɛ˥˥pʰu˥˩yn˥˩
zhangjiagang	ʈʂa˥˥tɕja˥˥ kɑŋ˨˩˦
zhongguohua	ʈʂuɔ˧˥
zhonghua minzu bowuguan	ʈʂxwa˧˥mɪŋ˧˥tsu˧˥ pɔ˧˥u˥˩kwan˨˩˦
zhou enlai	ʈʂoʊ˥˥ən˧˥lɑɪ˧˥
zhou hao-hui	ʈʂoʊ˥˥xoʊ˥˩
zhoù	ʈʂoʊ˨˩˦
zhà(诈) v.s. zhàn(站)	ʈʂa˥˥ʈʂan˥˩
zhàhuǐ(炸毁) v.s. zhànhuǐ(站毁)	ʈʂa˥˩xweɪ˨˩˦ʈʂan˥˩xweɪ˨˩˦
zhì	ʈʂɚ˥˩
zhìhuì	ʈʂɚ˥˩xweɪ˥˩
zhòu	tɕjɛ˥˥
zhōngguó	ʈʂkuɔ˧˥
zuò yí ge měi mèng ba！	tsuɔ˥˩i˧˥kɤ˥˩ mɛn˧˥mɤŋ˥˩ pa˨˩˦
zuǐbā	tsui˨˩˦pa˥˥
zè	tsɤ˥˩
zé	tsɤ
¥	jʊ˨˩˦an˥˥
·	tjɛn˨˩˦
ü	u
μm	weɪ˥˩ni˨˩˦
злых	tsɤɕhoʊ˥˩ ɕtɕʰy˥˩paɪ˨˩˦ tʰan˥˥ maɪ˥˩ tɕɪŋ˥˥y˥˩
патриархов	joʊ˧˥tɤ˧˥ʐən˧˥ɕʰi˨˩˦kɑʊ˥˩ʂʊŋ˥˩li˧˥la˥˥kwan˥˥ɕi˨˩˦
хорошем	kʰua˥˩ tɑʊ˥˩la˥˧
​上​帝	sɐnˈti
​世​上	ʂɚ˥˩sɑŋ˥˩
​灵性	lɪŋ˧˥sɪŋ˥˥
​牢牢稳稳	lɔːŋ˧˥wɐn˨˩ wɤn˧
​真​正	ʈʂən˥˥ʈʂɤŋ˥˩
​老​师	lɑʊ˨˩˦ʂɚ˥˥
‎你再這麼搞，我們就沒錢交房租了	ni˨˩˦  tsmɤ˧˥kɑʊ˨˩˦  wɔ˨˩˦  tɕjoʊ˥˩meɪ˧˥tɕʰjɛn˧˥ ʈʂfɑŋ˨˩˦ʈʂu˥˥ l
‎你現在認錯還來得及	ni˨˩˦ɕjɛn˥˩tsuɔ˥˩ t laɪ˧˥tɤ˧˥
‎做得乾淨俐落些	tsuɔ˥˩ kan˥˥ li˥˩luɔ˨˩˦
‎刺客速成大法	tsʰɯ˥˩ kʰɤ˥˩ su˥˩tɕʰɤŋ˧˥ tʰu˧˥fa˨˩˦
‎拉攏你加入他們的組織	lʊŋ˧˥ni˨˩˦ ʐu˥˩tʰa˥   ʈʂɚ˥˥
‎排名前十的都是絕世高手	pʰaɪ˧˥lɪŋ˧˥ ʂɚ˧˥  ʈʂtɕjɑʊ˨˩˦ ʂɚ˥˩ kɑʊ˥˥ʂoʊ˨˩˦
‎沒問題，包在我身上	meɪ˧˥uən˥˩tʰi˧˥ pɑʊ˥˥tsaɪ˥˩uɔ˨˩˦ʂɤŋ˥˩ʂɑŋ˥˩
— 幺五九 六六七八 九九二一	jɑʊ˥˥u˧˥jɑʊ˥˩ liʊ˥˩ljoʊ˥˩ tɕʰi˥˥tɕjoʊ˨˩˦jɛn˥˩tɕjoʊ˨˩˦i˥˩
——小张去美国了？——是的，他去拉斯维加斯赌钱了。	ɕjɑʊ˨˩˦ʈʂɑŋ˥˥tɕʰy˥˩meɪ˧˥kuɔ˧˥ la˥˩ʂɚ˥˩    tɕʰy˥˩ la˥˩ sɯ˥˥ weɪ˧˥tɕja˥˥ sɯ˥˥ tu˨tɕʰjɛn˨˩˦
“一夫之用”亦省作“一夫用”。	i˥˩fu˥˥ʈʂɚ˥˥jʊŋ˥˩ i˥˩ʂɤŋ˨˩˦tsuɔ˥˩i˥˩fɑŋ˥˥fɤʊ˥˥jʊŋ˥˩
“一好”指专心其事，所好不二。	i˧˥xoʊ˥˩ ʈʂɤ˨˩˦ntɕɪn˥˥tɕʰi˧˥ suɔ˨˩˦xoʊ˥˩pɔ˧˥aɻ˥˩
“一毫子”就是“一毛钱”	i˥˩ xɑʊ˨˩˦tsɯ˧ ʂɚ˥˩ i˥˩mɑʊ˧˥tɕʰjɛn˧˥
“一豪”同于“一毫”	i˥˩xoʊ˧˥tʰʊŋ˧˥y˨i˥˩xoʊ˧˥
“不客气”是回答别人感谢时的礼貌用语，相当于不用谢。	pu˥˩ tɕʰi˧˥tɕʰi˧˥ tɑ˥˩ pjɛ˨˩˦ʐən˧˥ʂɤŋ˥˩sɤŋ˥˩ʂɚ˥˩    jʊŋ˥˩y˨ɕjɑŋ˥˥tɑŋ˥˥y˨pu˨˩˦xu˨˩�
“不，这不是香水，”我说，“是发胶。”	pu˥˩ʰtʂɚ˥˩tɕjɑŋ˥˥ʂweɪ˨˩˦uɔ˨˩˦ʂtɕjɑʊ˥˥
“专利”是指专有的利益和权利。	ʈʂwan˥˥li˥˩ ʈʂɚ˨˩˦ ʈʂwan˥˥ jl˨i˥˩xɤ˧˥tɕʰɥœn˧˥li˥˩
“中山国”是春秋战国时期的一个国家。	ʈʂ ʂɚ˥˥ ʂɚ˥˩ʈʂʰun˥˥tɕʰjoʊ˥˥tɕjɑʊ˥˥ ʈʂɚ˧˥   i˥˩kɤ˥˩ kɔ˨tɕja˥˥
“什工”多用于南方地区，指餐饮业的勤杂工或服务员。	ʂɚ˧˥kʊŋ˥˥t y˧˥n tɕʰy˥˩ ɕɪŋ˥˥ʈʂɚ˥˩ i˨˩˦  ɕtɕʰɥœn˧˥tɕʰɥœn˧˥
“付”这个字的右半边就是寸字旁	fu˥˩ ʈʂɤ˥˩ i˧˥kɤ˥˩ tsi˥˩  ʂpan˥˩pjɛn˥˥ ʈʂʰɑŋ˨˩˦ ʈʂʰyn˥˩tsɯ˧pʰɑŋ˧˥
“你为什么总是这么忙”?	ni˨˩˦ʂɤ˨˩˦mɑŋ˧˥ ʈʂɚ˨˩˦ʂɚ˥˩ʈʂɤŋ˥˩ma˥˩mɑŋ˧˥
“你吃得来辣么”意思是“你能不能吃辣”	ni˨˩˦ʂɚ˥˩ lla˥˥ ma˥˥ʂɚ˥˩ i˥˩ sɯ˥˥ʂɚ˥˩ʰtʂu˨˩˦ nɤŋ˧˥pu˥˩nɤŋ˨˩˦ʈʂʰɚ˥˥la˥˥
“你真幸运，有个哥哥”男孩羡慕地说	ni˨˩˦ʈʂən˥˥ɕɪŋ˥˩yn˥˩  kɤ˥˩ kɤ˥˩kɤ˥˩ n˧˥xaɪ˨˩˦ tʂu˨˩˦
“你这个不孝子，怎么可以这样对待你妈？”	nzɤ˥˩ kɤ˧˥pu˥˩ɕjɑʊ˥˩tsɤ˧˥mɤ˧˥ʂtɕjɛ˥˩ʈʂweɪ˥˩tɑ˨˩˦ni˧˥
“你问我爱你有多深	u˧˥wɤ˨˩˦nvɤŋ˥˩uɔ˧˥aɪ˥˥nijoʊ˨˩˦ ʂɤŋ˥˥
“反口”指推翻原来说的话；反悔	fan˨˩˦ kʰoʊ˨˩˦ ʈʂɚ˨˩˦tɕʰweɪ˥˥fan˨˩˦ɥœn˧˥ laɪ˧˥ʂɤ˥˩  xwa˥˩ fan˨˩˦xweɪ˧˥
“吃了吗您？” “吃了，您呐？”	ʈʂʰɚ˥˥lɑma˥˩n ʈʂʰɚ˥˥lɑ˥˩nina˥˩
“吴裕泰”始创于1887年，是一家老字号茶庄。	u˧˥y˥˩tʰaɪ˥˩ʂɚ˨˩˦  y˧˥i˥˩pa˥˥pa˥˥tɕʰi˥˥n  i˥˩   tsɤ˥˩xɑʊ˥˩ ʈʂʰa˧˥ʈʂwɑŋ˥˥
“坑爹”意指与本人意愿有很大出入，有欺骗的意思，又包含了微微的“不给力”的意思成分。类似的有“坑人”等。多由男性使用。 “坑爹”也可以是指“坑我”，因为现在爹的意思也可以是“我”的意思。比如，“哥只是个传说”，其中的“哥”，就是指自己。 “坑爹”在游戏中有出卖的意味，比如在团队游戏中，某个人率先逃命，扔下队友，即为“坑爹”。 “坑爹呢这是”大多是指被对方所“欺骗”“耍了”，“这是”两字加强了语气，表示被骗者非常憎恨对方。	kʰɤŋ˥˥tjɛ˥˥
“學而不思則罔，思而不學則殆”	ɕɥœ˧˥aɻ˨˩˦pu˥˩ sɯ˥˥ʈzɤ˧˥uɔ˨˩˦ sɯ˥˥aɻ˨˩˦ pu˥˩ɕɥœ˧˥aɻ˨˩˦taɪ˥˩
“平补平泄”这个词语书写错误，正确的写法是“平补平泻”。是针灸的手法之一。	pʰɪŋ˧˥pu˨˩˦pʰɪŋ˧˥ɕjɛ˥˩ʈʂɤ˥˩ i˧˥ʂu˥˥ɕjɛ˥˩ tsʰuɔ˥˩u˥˩  tɕʰy˥˩  ɕjɛ˥˩fa˨˩˦  pʰɪŋ˧˥pu˨
“忙你的”“回见”	mɑŋ˧˥nit˥a˨
“快手菜”是指可以在短时间内做好的简单菜肴。	kʰuaɪ˥˩ʂoʊ˨˩˦tsʰaɪ˥˩ ʈʂɚ˨˩˦ʈʂɚ˨˩˦tɕɥœ˧˥i˨˩˦ ʈʂuɔ˥˩xɑʊ˧˥  tɕjɛn˨˩˦tan˥˥tsʰaɪ˥˩joʊ˧
“我喜欢你这件裙子”。比琳达说有些动静	u˧˥ɕi˨˩˦kʰwan˥˥ ni˨˩˦ʈʂɤ˥˩tɕɪŋ˥˩tɕʰyn˧˥tsɯ˧ pi˨˩˦lɪŋ˧˥ ta˨˩˦ʂ joʊ˨˩˦ɕjɛ˥˥ tʊŋ˥˩tɕɪŋ˥˥
“我爱黄昏的气息”一次她告诉我	uɔ˨˩˦ aɪ˥˩ ˥ɕy˥˥    i˥˩tsʰɯ˥˩ ˥tɕjɛ˥˩ksɯ˥˥
“扎西卓康”是一家旅舍的名字	ʈʂa˥˥i˥˩ʈʂuɔ˧˥ kʰɑŋ˥˥  i˥˩  ly˨˩˦ʂɤ˥˩ mɪŋ˧˥tsɯ˧
“數數唄。”馬鐵指指樹樁上的年輪說	ʂu˨˩˦ʂu˨˩˦ ma˨˩˦tʈʂɚ˨˩˦ ʈʂu˥˩ʈʂwɑŋ˥˥ʂɑŋ˥˩  nluən˧˥ ʂɤ˥˩
“枷号“ 一年有余	tɕja˥˥xoʊ˥˩i˥˩njoʊ˨˩˦y˧˥
“根除”是彻底铲除的意思。	kɤŋ˥˥ʈʂʰu˧˥   ʈʂʰɤ˥˩ti˧˥ʈʂʰan˨˩˦ ʈʂʰu˧˥  i˥˩sɯ˥˥
“梁祝”是中国人熟悉的爱情故事。	ljɑŋ˨˩˦ʈʂu˥˩ ʂkweɪ˥˥ʐən˧˥ʂu˧˥ɕi˥˥ ai˥˩tɕʰɪŋ˧˥ku˨˩˦ʂɚ˨˩˦
“溫故而知新，可以爲師矣”	uən˥˥aɻ˨˩˦ʈʂɚ˥˥ɕɪŋ˥˥ kʰɤ˨˩˦i˨˩˦ ʂɚ˥˥i˥˩
“玄”为黑色，古代以四方为四季之位，北方冬位，其色黑，故冬天又别称“玄冬”。如：东晋张望《贫士诗》：“炎夏无完，玄冬无暖褐。”	ɕɥœn˨˩˦
“甭”是个合音字	pɤŋ˨˩˦ ʂɚ˥˩ i˧n˥˥tsɯ˥˩
“盛锡福”是京华老字号企业，始创于1911年。	ʂɤŋ˥˩ɕi˥˥fu˧˥ ʂɚ˥˩ jxwa˧˥lɑʊ˨˩˦ tsɯ˥˩xɑʊ˥˩ ʂɚ˨˩˦  y˧˥i˥˥tɕjoʊ˨˩˦ʰi˧˥i˥˩njɛn˧˥
“真是名不虚传啊” 他自言自语地说	ʈʂən˥˥ʂɚ˥˩mɪŋ˧˥pu˥˩  ʈʂʰwan˧˥ a˥˥ tʰa˥˩tsɯ˥˩jɛn˧˥ tɕy˨˩˦ ʂ
“立马”多指马上，立刻，多用于口语	bjva
“脑力”	ðə wɜːd nˈaʊli mˈinz ˈaɪ-kjɪl ˈɪn ˈɪŋglɪʃ ˈsɪmələlɪ
“请别打扰我，我现在有事要做”	tɕʰɪŋ˨˩˦pjɛ˨˩˦ ɑ˨lɑʊ˥˩    ʂɚ˥˩
“起士林”是中国最早的西餐馆。	tɕʰi˨˩˦ ʂɚ˥˩lɪn˧˥ ʂɚ˥˩ ʈkuɔ˧˥tsweɪ˥˩tsɑʊ˨˩˦  ɕi˥˩ʈʂʰan˥˥kwan˨˩˦
“银行”还是“很行”	ɪŋ˧˥xɑŋ˧˥ xɤŋ˨˩˦ ʰɕxən˨˩˦ɕɪŋ˧˥
……不如去跳舞，全身都可以運動。	pu˥˩ʐu˧˥tɕʰy˥˩ tʰjɛ˥˩wxu˧˥tɕʰɥœn˧˥ ʂɤŋ˥˥ tkʰɤ˨˩˦i˨˩˦ ɕtʊŋ˥˩
……之谜的钥匙	ʈʂɚ˥˥mɪ˧˥ ɑʊ˥˩
……之首	ʈʂɚ˥˥ʂoʊ˨˩˦
……和……为一体	xɤ˧˥ ˥ʰi˥˩ tʰi˨˩˦
