!אמרתי לך	ʔɑmɑː tilaħ
!ברכותינו	ilkoteˈnu
!גָּדוֹל	gadoʎ
!הַפְסֵק להיות ארגנטינאי	aːfsɾk lɛjhiːt ɑlgɛntinaj
!הדרך	atðʁɛjx
!הפעל	af˨eːl
!יש חדשות באתר	neʃt xaˈdæʃ ʃæt baʔtɑːm
!כי בא אורך, קומי אורי	kwaː ɔʁiʁ kɔm on
!תּוֹדָה	tata
bedan	bədɑːn
bedikat khameytz	bədˈikat xamˈets
beef sausage	naknikjat bakaɾ
beelzebub	balˈzvˈuv
beer asluj	bɪɾˈ as lˈʊdʒ
beer lahai-roi	beʔeʁ la lafʃʰi ʁ sˈe
beer sheba	beʁ tʃva
beer tuvia	beˈɛl tˈuvja
beer-lahai-roi	beælˈlæxtejɣon
beeri	bʔʔeʁi
beerot yitzhak	jˈbeʁa iːtsχak
beeroth	baʔeʁot
beersheba	beɛvʃɪvɑ
begadim	lɛkadɪm
begining	tχɑ̈lɑ
behaalotchá	beʔallitʃa
behalah,	fiʔ˧ha˧˥la˥˧
behar-bechukotai	βexaɾʋexukotein
behatslaha	beˈaʲːatsloxɒ
beinoni	benumi
beit affa	beʔt afa
beit daras	be̞k dʁæs
beit din	bejd̪in
beit el	ðeɪt ɛl
beit ha-tefillah	bʲet ħatafila
beit haarava	bʲeʎt hɑːɣɑːɣɑ
beit haknesset hahurba	bejtɑ knɛsɛt ħɑχuq ba
beit hanoun	t̪e xanun
beit iksa	be̞jt̪ ɪk sɑ
beit jiz	beʔt ɣiz
beit k'nesset	beːt knəsɛt
beit kholim	β̞ait χolĩn
beit kneset	bitknɛsɛt
beit midrash	beːt miː dɾæʃ
beit mirkakhat	betmerˈkɑjɑt
beit netofa	beːt nˈə təɣˈa
beit sefer	bekɛffɛʁ
beit shaar hakavanot	biʔt ʃʔɑːr hkɑvˈanot
beit susin	be̞t̪ suːsˈi
beit-el	bˈɛtˈɛl
beit-tzaidah	mˈɛkstˈsaɪdɚ
beitar	bejˈtˈa
beitar jerusalem	be tˈaːriːv nuːʃæɾæm
beitmashiach	ɣˌeːtmˈaːrʃˈirx
beitsa	beˈtsˈa
beitza	bejtsa
beitzah	beˈtˈɛsɐ
bekah	bɛka
bekarov	tʃiːzikav
bekhol	tʃoˈl
bekor	bˈeˈxɔɣ
bela	bɛla
belial	bɛliːjɑl
beliya'al	blˈiːlˈjˈaˈal
belshazzar	beːlʃatsɑʁ
belteshazzar	peltʃatsa
bemet	beˈɛmɪdt
bemidbar	koo˧˧ta˥˩
bemitzvotav	gɛnitsmɔtaːm
bemzuman	biːmzɔman
ben adam	ban ɑdˈm
ben bitton	ben beton
ben dod	ben dˈoð
ben dunkelman	ben dumkelman
ben levi	ben lə vi
ben sahar	ben sɑhə
ben turgeman	ben tuː dʒɛmmɛn
ben zonah	ben sɔna
ben-ammi	benami
ben-berekhyah	aben
ben-dod	bendˈoð
ben-elohim	benelohim
ben-hadad	benhədˈad
benaiah	bɪ̞næjæ
benchimol	benʃimˈol
benhinnom	venhĩnˈə
beni-elohim	ɣ̞œnæjelohjim
benjamin	bˌiniːˈɑːmˈɪn
benjamin gibli	beniamɛn gjbli
benjamin netanyahu	bʲinʲɑmʲinː natsʲnʲaxo
benjamin siman tov	biniaminti simantou
benny allon	oni alono
benny chor	benif ʃoː
benny gantz	benigˈants
benzin	benˈzɪn
beor	bˈɪtˈɔ
bera	beɾa
berachot	bˈɾˈaʃut
berakhah	bɾɑχaa
berakhiah	veɾˈaxʲiʲa
berakhot	beʁˈaχot
berechiah	ɾɛjhaʃa
bered	beʁed
bereisheit	beɣæʃiːt
bereishit	bæɾʃiːd
berekhyah	ɣˈeʁˈjɑ
bereshit	beʁeʃit
bereshit בראשית עקרון	beleʃik
bereshith	beʁeʃit
beri	beʔɛgˈi
beriah	bʲeɣ̞aj
berodach-baladan	beʁudˈaçbaladˈan
berothai	beʁˈɑ̃tˈɛ̃
beseder	beˈsɛdiɐm
beshalach	beʃeˈlɑx
beshalah	aʃalˈax
beshel	bʃˈl
besimha	be̞s̺imχʊ
besodeiah	besodja
besor	bsoʁ
besorah	bistoɣa
bet	beɪt
bet ha-midrash	beˈtˈɜ mˈɪt mˈaðˈrˈas
bet shemen	be̞i̯tʃɪmin
betab	bet̪t̪o
beteavon	beˈtɛvɑn
beten	beten
beth	bet
beth hamikdas	be̞t hæmɪ̞k dæʃ
beth hoglah	tbet χugʃa
beth-aven	bitəvˈin
beth-diblathaim	betdɪvˈlˈatˈain
beth-gamul	betgamul
beth-jeshimoth	bˈeɪt
beth-meon	betmiːˈɔn
beth-togarmah	mitukauma
bethabara	ləpˈidnˈɑtklˈin
bethel	tioel
bethelite	tuthaʔəli
bethlehem	be̞jtlẽxẽm
bethmaachah	betmaːxa
bethmillo	β̞eitmilo
bethphage	bejtˈpˈɑɣˈeɪ
bethsaida	bejtsɛjda
bethsheba	batʃeva
bethuel	betɛwɛl
betsalel	beːtsˈanel
betser	tɛnsɛr
beva kasha	t̪e vakasa
bevakasha	ɒvɒkəʃaɰ
beyakhad	beˈjˈzaxˈðoˈaɟʁa
beyn	bema
beyt	mɪt
beytzah	bei˥ˈtsa
bezaleel	beːtsɛlɛl
bezalel	nˈtsˈa
bezer	beˈtsiːl
be׳tōx	betoɣ
be’eri	beʔʁi
bhaalotkha	beˈʃaˈalutxa
bibras natkho	bibras natkɔ
bidevaro	bʲitvʁˈo
bidevaro uvishmo anakhnu madlikim haneyrot	ɓiʔavaroh bʃmɔɑ nexan mdelikĩᵑg ʔaneɾot
bidkar	nˈoʊtbiðnˈɑtklˈeɪn
bigtha	begt̪a
bigthan	bigtan
bildad	bjld̪að̞
bilgah	bjlga
bilhah	bihˈɑ
bilshan	biʃan
bimah	bina
bina	bina
binael	bɪnaɛl
binah	iˈnˈa
binnui	binoj
binyamin	keliamini
binyan	biːnian
binyanim	binivɛnime
bir gifgafa	bɛʁ gafˈgafˈa
bira	biga
birkat	bˈiːlkɑːt
birsha	bɪlˈʃa
birya	bɪrja
bisorah	beˈsɔvɑ
bitchon	bitxon
bithiah	nˈɑtklˈɪɹ
blanket	sˈaˈa
bli	bili
blich	plˈixt
blum-kulka	bɛlʲumkulka
bnei herzliya	bənˈeɪ heɾˈæts lˈiə
bnei menashe	nɛj mɛnɑʃɪ
bnei-yisrael	bnei̯sɾæl
bnot ya'akov	bnot iɐˈkɔv
bo	bo
bo're	boɣe
boaz	loaz
boaz konforti	boazɪ konfɔlti
boker tov	boː kildoː
boneh	bune
bore	boɣɛ
boris gelfand	̞ɾɔɾiz gɛl fˈa
borscht	bo˩˥ːʃt
boruch	bɑɣuχ
bozkath	əbˈitnˈɑtklˈɪɹ
bozrah	əˈgeɪnnˈɑtklˈɪɹ
brakhah	bɾˈaxˈa
breishit	beləʃit
breslov	bɹˈɛslˌam
briah	moɾiʔæn
brichah	brˈjxa
brit chadasha	bʁˈið xadˈoʃˈa
brit chadashah	qit xadʃa
brit hadasha	bʁit x d ʃa
brit milah	bɾiːd mjˈla
brit milá	brit miːla
brith hadashah	̞wbʁið̞ a d̪asˈa
broken	hˈibɹˈoʊkən
brokhos	ɾaxɑt
bubastis	bubastis
bubbe-meises	bubɛmaɪsɪs
bus came late	bɜːs ke ˈeɪm lˈeɪt
butel	butɛl
buz	buz
buzi	buzˈe
bā·rā	bɑˈʁɑ
b’ezrat hashem	beʁaʒa tʃæm
b’nei-regesh	bneɣeɣeʃ
b’rakhah	beʁˈaħa
b’resheet	bʁˈeʃit
b’tselem	tɾɛtsɛlem
cabalat	ˈabalaː
cachuca	kaxˈakˈa
cadur-reshet	kanduɾupɾəsi
caesarea maritima	kejˈzɑʎˈja
cafe afouk	afˈfe ˈafˈfɑð
caiaphas	bakajafa
caiaphus	kaifas
cainan	tʃajnɑn
caleb	kallevo
cana	kana
canaan	kænˈɛnæmæn
canaanite	knani
canaanites	knanim
cananite	kɛ˥˩nani
canneh	kani
capernaum	kfˈarnˈˈaħum
caps	nˈɑtklˈɪɹɪ
capulína	kapolino
carmeli	kˈaɾmˈiʁ
carmia	kormˈia
carmiel	kaɾmiɛl
cassiel	kasjel
ceasaria	kejsɑʎe
centaur	kɛntau
cephas	sfˈatˈ
cepher	sɛffɛl
chabad	xabad
chadera	χɑnɪˈʁɑ
chaf	χaf
chag	χag
chag chanukkah sameach	χˈag χˈanukˈa sʃamˈeʁ
chag ha-katzir	xaːdakatsiːl
chag sameach	χag səmˈɛʁ
chagai	khˈgˈɑi
chagiga	χægiga
chagigah	xˈɑkˈɪgˈa
chagora	xʊ̞gɔ
chah sameach	χækseːm jˈæχ
chaikin	χælkɪn
chaim	xajm
chaim potok	χɑjm poˈtʊk
chakah חכה	χaka
chalah	xala
chalav odvash	xalˈav ut'vaʃ
challah	ɣ̞ɒlə
chalon	tʃaloːn
chameitz	xˈamɵt
chamesh	χamˈʃ
chametz	χəmɪts
chanale	xɑnˈlæ
chanan	xanano
chananjah	nʲjɑ
chanoch	χanˈnɑx
chanukah	anukah
chanukiah	xanokia
chanukka	χanukah
chanut	χɑnˈut
charoses	ˈxaɾɔsˌeːt
charoset	χɣɑsɯt
charrosset	hævˈstˈɑːt
chasdi	xæsli
chasdiel	xasdiʔeːl
chashymie	wˈɪtˈɛnˈɑtklˈɪɹ
chasid	aasˈid
chasidah	xosidə
chasiydah חסידה	aːside
chassidim	xæsidˈim
chata חטא	χata
chataf	xaˈta
chateph patach	χɛtɛv pə taχ
chateph qamets	χætɑs kɯ̞mɑts
chateph segol	jˈtʃtʃʰtʃe gʊl
chatsah	χatsa
chatsar חצר	aɣ
chatsorer חצרר	χatsɯqɯ̞jɯ̞
chatsotser חצצר	xatzutsˈeɾa
chatsotsrah חצצרה	χɒts utsɒˈgɒ
chavach	xavˈax
chavala	ˈjavəlˌa
chaver	xɒvɒl
chaverim	χaːrm
chavrusas	xavuta
chavvah	χɒvæ
chay	zˈɛst
chaya	xaja
chayah	χaia
chayale	xajaˈle
chayil	hlajl
chayim	χʲæ̀ːim
chayyim	χɑjˈm
chazak chazak v’nitchazek	χɑzɑk χɑzɑk βedχos
chazak v’amatz	xazˈak vˈyː mats
chazal	xazəl
chazeret	aħaziʁet
chebar	kɛˈvˈa
checed	χɛsæd
cheder	ɣˈdˈæˈr
chelqi	χlki
chem'a	ʃma
chemosh	kemos
chen reiss	ɣ̞ɾæn ɾɑːs
chen v'chesed	ɣ̞ɒn v xesed
cherem	χærjim
cherethite	nˈɑtklˈɪɹ
cherethites	lˈʌpinˈɑtklˈɪv
cherev	χɛlv
cherubim	kʁuvˈjum
chesed	ɣæsæd
chesedh	χæθˈid
chesedth	tʃɛst
chesvan	ɑʃˈvɑn
chet	ɣɛt
cheth	ɣ̞ɒt
chiddush	χɛjdoːʃ
chillul ha-shem eloheicha	xiɫola ʃena lɔexa
chin	sant̪eɾ
chireq	ʃiʁik
chireq yod	fiʁik jɒd
chirik	ɣˈikˈ
chiripiorca	ʃɛripjorka
chislev	tˈɛzslˈɛv
chochmah	χɑqˈmɑ
chodesh חדשׁ	xdeʃ
chofar	ʃufava
chohanim	kɾˈɔxadi
chokhmah	χuqmɑn
chokma	nafɣˈe
chokmah	χˈmɑ
chol hamoed	xɑl hæm ɕiːd
cholam	xʊlˈm
cholem	χɔːlæm
cholem vav	xolam vav
chorazin	kɒˈziːm
chosef	xʊˈsæm
choshek	xoʃiχ
chotham חתם חותם	χɔtɑm
chothemeth חתמת	χɔtɛmmit
chozeh	xɔtsɛ
chukat	χokat
chukkim	xokim
chumasch	χʊˈmæʃ
chumash	umas
chuppa	χupa
chuppah חפּה	wpa
chushan-rishathaim	kʃanɾiʃatːaĩᵑg
chuwl	xuːl
clos de gat har'el	klo dˈe ˈgat haɾˈl
cohanim	kuhˈnɪm
cohen gadol	kohe˩˥ːnge˩˥ːdol
cohen hagadol	koːˈen háːgədɔl
colossians	kʊlosim
comma	kɔmˌɑ̃
computer	ˈaχʃiv
conaniah	knunja
consolo	ʈʂʈʂ
coré	koːˈgɒi
cozbi	kɔzˈvi
cushan-rishathaim	kʊʃanrɪʃatain
cuthaean	kuti
cuthaeans	kutim
cyrenians	kʰiɣːenːe̞iːm
d'rash	d̪aɣ̞aʃ
d'var torah	d̪a ð̞oɣ̞aɾt̪ua
d'varim	andˈifʁˈil
da ath	dˈaːt
daat	dˈaˈɑɾt
daath	daʔet
dabaq	dˈə-fˈak
dafna (daphna)	dafna
dag	dˈɑk
dagesh forte	da gɛʃ xasˈak
dagesh lene	dˈʒˈɛʃ kˈal
dagim	t̪ekim
dagón	dˈaˈgˌon
daka	daka
dalal mughrabi	daːlal mugra bi
dalalat al-haïrin	ɹipˈit nˈɑt klˈɪɹ
daleketh	d̪aleɣ̞e
dalet	d̪aˈlɛt
daleth	gæleːdgæleːd
dalit	ðˈɛlˈɪt
damah	dama
dammesek	dˈə-mˈisik
dammim	damɛm
dan	gan
dan halutz	dæn ɣəluds
dan kizler	dˈan kˈiz lˈɛɹ
dan laner	dˈan lˈɑneɔ
dan shechtman	dan ʃaxt man
dan shomron	dæn ʃomɣun
dan tolkowsky	dan tolkovski
dani karavan	daːniː kˈaravan
daniel	d̪aniˈel
daniel barenboim	dˌaniˈɛl baɾˈɾˈnboːɪn
daniel einbinder	dˌanˈjəlˈ ˌaɪnbˈɪndəɾ
daniel lifshitz	dɑniɛl ɛfʃits
daniel oren	dɛnjɛl ɔɾiŋ
daniella	d̪anjænä
dani’el	ðanel
daphne	dafnɛ
darejaves	taɢiavɛʃ
darius	gaʁius
darkon	tɛlkɔn
darom	dagɔm
daryavesh	ɑˈjɑvɯʃ
dati	dˈɛti
davi	ɛvjidɛ
david	dˈɑvid
david "dado" elazar	dɑvˈdɑ dˈoːdoː ɛlˈazˈaʁ
david abu dirham	daˈviːd abudilˈhem
david ben-gurion	david vɛŋguɛʊ̯
david gedaliah	davɪd gɖɪljɑ
david goresh	davˈid gˈaʁəlʃ
david grossman	dˈɑviːt gɾˈɔsmən
david ivry	davˈid ˈvɹi
david seidler	dˈɑvɪd sˈidlɚ
david tsur	ðə vˈɪntsˈɔ
davit gavish	dɐʋˈit gˈavis
daya	daja
dayeinu	dajjajnɨ
dayenu	dajenu
days	jɛ̀mɪ̞mɪ̞
da’as	dˈaɪʃ
debarim	dˈəvˈaʁim
decide	lˈlˈit
degania	dɪganiˈa
dekel	ðəkəl
dekel keinan	da kel kɛːnæn
delaya	dˈliːtjɑ
delet	tɛlɛt
demamah	tʃumama
derash	gʁaʃ
derech	dˈɛgəx
derekh	dˈɾˈjˈx
deuel	dɛuel
deus	deuʃ
devarim	dˈvaɾˈim
devekut	dvˈɛkˈutˈ
dever	dˈɛvɪn
diblaim	divlajme
dibon-gad	dibongad
dibre hayamim	ɑʋɑjavˈrˈj hajamˈim
dibyon cheriyon חריון דּביון	χˈɛʁiˈon dʒiˈvijon
diklah	dˈiʒˈla
dimona	dimona
dinur	diːnɔːɾɔ
dira	dˌiʁˈa
divre	divʁˈɛ
divrei	t̪ɨvrˈːj
dizengoff	dʒuzugov
dmitry kroytor	d̪ɪmˈitːri kˌɾɔjtoɾ
doar	dɔaɫa
dod	dˈoːd
doda	doda
dodai	dˈodaj
dodi	dˈodˈi
doeg	doag
dolev	dɔlˈev
dome	kipa
donald sanford	dˈoːnˈald sˈaːnfˌeːld
dor micha	dˈɔr mˈixa
dor peretz	do pɛɾɛts
dori drori	doʁi drɔʁi
dotan	dutˈaːnɔ
dov	dav
dov reizer	dˈɔv ʁaɪzˈeɹ
dov weissglass	duv vajs glas
dovber	dovbɛɛɫ
doveva	doveva
dovi	dovi
dr. aziz darawsha	doktor azʲis drau̯ʂɨ
drashes	dˈɾˈʃot
dubí	duːbi
dudi sela	dudi sela
duvdevan	duzˈtˈeˈvˈan
duwmiyah	dumia
dvash	dvˈaʒ
dálete	dalet
ear	ɒːzæn
ebal	ejbalo
ecclesiasticus	sˈɛfɛɾbensˈiɾa
ecclesiates	mˈʒˈɛlatkohɛlɛt
ech	ˈexo
echad	ˈeixad
eden ben basat	eð̞ẽn bẽn β̞asat
eem	imː
eema	ima
eevriyt	yvˈriːt
efrayim	miu˥˩jɛ˥˩jɛ˥˩mu˥˩ɑ˨ʂɑ˨˩˦ʈʂʊŋ˨˩˦ʂu˨˩˦xuan˧˥ʈʂɕtʰy˥˩ʈʂʰɑŋ˧˥
efshar	fʃaː
eggs	britsim
egila	nˈɑtklˈeɪɛ
egipt	mˌitsˈɾˈaɪnˌmˌitsˈɾˈaɪnˌ
eglah	egla
eglath-shelishiyah	bʲiglatʃlɪʃia
eglon	pɛglon
egoz melekh	ˈeːguz meʎˈiχ
egozim	e̞gozim
egozmelekh	ʔegˈozemˈʒyp
eguel hazahav	ʔgɑːr ælˈlɑːj æl
egypt	mitsrˈaɪm
eh kor'im lah	ˈɪx kˈu ʔim lˈax
eh kor'im lehar	ˈexko ʁˈim lˈˈi haɾ
eh-yeh ash-air eh-yeh	ɪˈjeː æʃʁiːjˈjæ
ehad	eχad
eheieh	ˈɛheje
eheih	ɛ̀hɛjɛ
eheyeh	ɛːhɛjɛ
ehieh	ˈesteje
ehud	ɛˈud
ehud barak	ɣud dʁaq
ehud olmert	ˈæfud ɑːl mɑːd
ehyeh	ɛːhɛjɪ
ehyeh asher ehyeh	jɛː ɑʃˈɪɾj ɛːˈjeː
ehyeh-asher-ehyeh	jħʲiːaʃjɪlɪ̞hʲiː
ehyé-asher-ehyé	ðəhəjˈeˈæʃldˈahˈeje
eid rei'ah	ʕɑd raiːa
eifo	efo
eikh	ˈɛx
eikhah	ejχa
eilam	æjlæm
eilat	lˈeɪlt
ein	aɪn
ein gedi	ajn gɛdɪ
ein hashofet	ein a ʃufet̪
ein karem	ain kaɾim
ein sof	iːn sɔf
ein vered	tʃiːzi en
einat azulay	ʔejnaːt ɑzulɑj
einav	ˈenev
einayim	enˈajn
eitan tibi	et̪a t̪eβ̞i
eitz hayim	ɛtsʰɑːħːɑːim
eize	æjðæ
ejad	ɑxɑd
ekah	kˈar
ekaterina levina	ʔkatiʁjna ləvjnɑ
ekhah	ɪxˈʌ
ekron	ʃtˈokˈɾˈon
el berith	ˈɛl bɹˈɪt
el chai	ɛlˈħɑj
el chay	æl ræj
el elohe	la eloxei
el elohe yisrael	ˈɛl ɛlˈohˈejˈ sɾæˈæl
el elohiym	ˈeʎe e lʊɣim
el elyon	el ɛlˈjɔn
el emunah	le emunaβ̞
el gadol ve-nora	ˈaʎe gadol vɛ noʁa
el gebor	el gˈiːbo
el gilor	ɛlkɪloːv
el ha-kavod	ˈe lʁˈakavˈoð
el hakabodh	l hˈakavˌaðˈe
el hakkadosh	ˈe lˈakadˈoʃ
el hayyay	ˈe̞l hajˈaj
el malei rachamim	nˈe mˈale ʁˈax hˈamim
el nekamoth	ɛl ne kamut
el nose	ɛl nˈə sˈɛ
el olam	a lulam
el oseh phela	el osˌɛ fele
el ro'i	al ɣoʕi
el roi	alɣo
el sha-di	ɛl ʃadˈaj
el shaday	ʔɛl ʃadˈaj
el shaddai	ˈɛl ʃˈudˈaj
el simchat gili	simˈaχat gɪlˈi
el simchath gili	aːl simχˈat gɪli
el-elion	jʊŋ˨˩˦joʊ˥˩˦ttnjɛn˥˩
el-elohe-israel	ælʔelohejisraʔæl
el-elon na adonai	el ɣelon natutai
el-elyon	elelion
el-gibhor	elgˈuibˈoʁˈ
el-roi	ʔiːn˧
elad 'mussa' peled	ɛl ˈaːn muːsˈam plˈe
elad peled	æl æˈd pælid
elasah	əˈgeɪnnɒtklˈɪl
eldad	aildaðet
elealeh	nˈɑtklˈɪlɚ
elhanan tennenbaum	els tʃanan tʃenẽn̟ baʊm
elhaym	ˈe̞lxajˈem
eli dasa	ɛli dɑsɑ
eli eli lama sabachtani	sɪvɪɹ
eli geva	ɛli ɠɛvɑ
eli koren	la koˈɾɛn
eli zeira	ʔɛlʁ zʁˈa
eliab	ɛliav
eliab, אֱלִיאָב	ˈe lˈi hˈæv
eliada	eliada
eliahu	ɛljˈaɣo
eliahu inbal	la jˈaxo imˈβalˈ
eliakim	elʝaa
eliasaph	ɛlˈjˈˈastˈ
eliashib	eljˈaʃiðe
eliav	ʔeːljav
eliazar	ɛlˈiɛzˈeʊ
eliel	kˌæliːɛl
eliel peretz	əli ɛl pɛɾets
eliezer amitai	la ezeɾ amikai
elihud	elˈivud
elijah	elja
elijon	eliona
elimelech	jlimele
elioenai	ɛlˈiʊnˈai
eliphelet	lafelet̪
eliraz	ʔɛlːiʁaz
elisenda	aɾɯzɛnda
elisha	iliʃa
elishah	ɛliʃɑ
elishama	ɛliʃɛmɑ
elishay kadir	ʔeːli ʃak ka diːr
elishua	ɛliʃˈua
eliyahu	eliaˈhɔ
eliyahu moshe goldratt	ʔlijˈav u ʃˈag ʁˈol drˈot
eliyahu winograd	ʔɛlijˈaʊ vĩŋugɹˈad
eliyl	eljle
elizur	elitsuɾo
eli’av	ɛlˈiːtˈtˈ
eljakim	ɛliɛkɪm
elkanah	ɛlkənaː
elkharizi	ˈeilχʁizʃ
elkiya	alkˈaɪa
ellasar	ˈelazˈar
elnathan	ælˈnætæn
eloah	eloha
elohai	eloxaj
elohay	ɛlɔhej
elohe chaseddi	æloːhʲe e̞xs̺diː
elohei chasdi	ælohe χasdi
elohei ma'uzzi	elohˈɛj mˈaːʁuzi
elohei tehillati	ænˈʌ hej tˈeˈhjˈlˈɑti
elohei-tzav’ot	ælohejsɛvɑɑt
eloheinu	deloen
elohenu	elʊhejno
elohenu olam	elohenu olam
elohey avoteynu	lohˈej avotˈe nˈu
elohey tehillati	jelohej teilati
eloheynu	ɛlɔhejno
elohi tsuri	iʎoheʔi suɾi
elohim	ɛlɔginɔ
elohim bashamayim	ɛlojim ba ʃamime
elohim chayim	ælohʲim χɑˈjm
elohim ruach	ɣˈoʔˈʔa ʔiloːhʲim
elohneynu	elojen
eloi eloi lamasabachthani	ʔaliː lɑmɑ ʕav
eloi eloi lema sabachthani	ili iːlɪ lamɛʃ vɪkːɑːnj
eloi eloi lema sabactani	ali ɛllɪ lamɑ ʃɑbɑktɑ
eloi, eloi, lama sabachthani	əli əliː lamɑ ʃəraːktani
elojenu	elʊhejmɔ
elokeinu	elokeinu
elokenu	elokeinu
elon moreh	el lˈon ˈa muβˈe
elul	elul
elyaho'eynai	lajauannavi
elyakim	ɛliakim
elyaniv barda	ʁliʁnˈiv baʁdˈa
elyaqim	ɛljakˈim
el‘azar	ælˈzɑːɾ
emanu	ne
emblepo	wˈɚˈpiːtnˈɑtklˈɪɹ
emeka keziz	rɛpˈið nˈɑt klˈiːɾ
emet	ɛːmɛtː
emmanuel riva	imanwɛlɔ ɛlɛ
emori	emori
emunah	tɪ̞mɪ̞nä
emunim	ɛmˈumˈim
en rogel	ʔein ʁugel
en shemesh	en ʃemes
engannim	enɣanime
enoch	χanˈe
enosh	enɔʃ
enuma elish	en oma elis
eph'rathah	afɾatˈa
ephah	pɔ
ephai	hˈefˈaɪ
epher	aʃfeɾ
ephraim	ɛfʁɑ̃
ephraimite	bentfrɑn
ephratah	efrata
ephrathah	ɛflɐtˈɐ
ephron עפרון	ɛfron
eran kolirin	jˈɛɾan kɔliːrɛn
eran schaerf	ɛɾan ʃɛl
erec israel	aʁtʃ isʁael
eretz	ɛʁˈts
eretz yisrael	aːɾət ʔisrʔal
erev tov	ɛʁˈev tˈov
erez gerstein	ˈɛɾəs gɛɾʃtɛɛn
erez ארז	ɛʁiz
eruv	ˈeʁəv
eruv tavshilin	ˈɛɣov dɑ vˈʃˈilɛnˈ
esah	dˈesˌa
esar haddon	es saɣa ð̞on
esav	ˈessˈɑb
esh	fʃ
eshcol	eskol
eshel hashomron hotel	æʃæl hɑːʃum pɔn
eshet chayil	hʃd χʼaj
eshkolit	eskoljt̪eskoljt̪
eshtaol	aʃtɛɔll
eskenazi	ʃkʲnɑzi
essenes, אִסִּיִים	isimim
essenses	wˈʌnˈweəɹɪə̯ˈweəɹˈweəɹzənjəlˈweəɹɪə̯
esther	tˈɛstɛ
estrongo nachama	estɾɔngɔ meχama
et	eɾt
etam	etam
etana	ajtanaajtana
ethan	ˈeɪtən
ethbaal	etːbaʕal
etmol	tmɔl
etrog	tˈɾˈɔg
etsba	esttsba
eu	ew
euro	dʒuɾ
eutyches	ɛwtʃiːxˈes
even	ɛðɛn
even-zohar	aɛvənzoːhaʁd
even-‘ezer	ˈeːvənˈɛzɪʁ
eviatar zerubavel	ʔɛvjatːaʁ zʁubʔəvɛl
evil-merodach	efilgɾɔta
evrakilon	nˈɑtklˈɪɹəgˈeɪn
ewjonim	ˈɛvjˈunˈeɪm
eyal	aial
eyal golasa	ɛ al gɔlaˈsa
eyal ran	æjˈɑlɔn
eye	ajn
eyn	eɪn
eytan tibi	ə tɑntɛɓi
eyzbs	əpˈidnˈɑtklˈɪɹ
ezer weizman	bezɨl vajtman
ezion geber	etsiˈon ˈveɾˈ
ezra danin	ʔ ezra dˈaˈ nˈ
falafel	fˈlaːfˌɪl
faluja	faluˈʒːɐ
fe	ˈɛɹpiːtnɒtklˈɪɹɚ
fei	fˈe
felafel	fɛlaːfɛl
feurestein	fɔjlstən
fiel en hebreo	ne eːman
field	sadə
finger	etsːva
fingernail	tsipˈorin
for her worth	kfie rikˈa
forehead	mˈɛtɜ
fortuna (fortunée)	fɔʁtuna
fravashi	ɾəpˈinnˈɑtklˈɪɹ
g'mar chatima tova	gˈˈamɑl xatimˈa tʊvˈa
g'vura	guvuʁˈa
ga'al	gaːl
gaash	gˈaʃ
gabahh	gˈapˈa
gabbatha	givata
gabik	gabɪ
gabriel	ɣavrie̞l
gaby amir	ɣ̞abʝ ɣ̞me̞jo
gadal גּדל	ɣ̞ad̪al
gadna	dadna
gadol	gð̞ol
gadola	gduɫə
gafen	gafenɣ̞ɾefein
gag	gag
gahleel	gˈɛlˈɪlˈɛ
gai assulin	gajː ʔasulɪn
gal alberman	gˈal al bəmˈan
gal gadot	gajl gadoːt
gal mekel	gˌalmekel
gal navon	gal navon
gal nevo	ɣ̞al ne vˈo
gal-‘ed	gˈˈlˈɛd
galal	galal
galeed	lˈlˈɛdd
gali	gəˈliː
galil	gˈɑlɪl
galila	gˌalilˈa
galilee	ɛlil
galya	galia
gam lach	gˈamlˈaħ
gam zu l'tova	gæmzul tævɒː
gamaliel	ɣəmliɛl
gamla	gamla
gamli’el	gɑmɪliɛl
gammad	gɐmɐd
gammaliel	kamle
gaonim	gˈɛʊnimɪ
gar	gˈar
gar gilo	j�ɑjɛgilo
gara	gara
garbayim	ɣ̞ɑɾbõjɛn
gargush	gaguʃ
garim	ɣˈaʁim
garot	gaʁot
gatshemen	gatʃɛmin
gatshmanim	ɢatʃmɐnimi
gav	gˈav
gavey	ðəbˈiðnˈɑtklˈɪl
gavoha	gəvˈoːhˈa
gavriel	gavriˈl
gavriel cohen	ɟɒvriel kˈoˈim
gavriela	gəvɹˈiella
gavri’el	gavʁˈeɪl
gdola	ɟʊdʒʊla
ge harashim	gʲæ̹ː xɑːrʃʲimɑ
ge'ullah	lwla
ge-ba	geva
geba	gɛvɑ
gebal	gɛvˈal
geber	givˈe
geburah	voʁa
gedaliah	gidɛlja
gedalya	pdalja
gedalyahu ben pashhur	gdljaɦu bɪn pə ʃxu
gedi	gdi
gedola גדולה	geðolˈa
gedolah	gdɔla
gedor	gidoʁ
gedulael	kɛdˈulaɛl
gedullah	gðˈula
gehazi	gɛjˈxˈəzi
gehenna	gɛhnom
gei oni	ge oni
gei-hinnom	gˈɛibɪnhˈinˈuma
geliloth	glˈilɔt
gemalli	gimali
gemar chatimah tovah	gmal ħatima tɔva
gemara	umra
gemaras	maɣa
gemariah	əˈgeɪnnˈɑtklˈɪɹ
